Filename,Source,Average F1-Score,Total Errors Aggregated,Times Evaluated
strike-detail-sciopero-nazionale-17-novembre-ore-9-13-personale-.html,Trenord,0.4750,14,16
eav_informa_sciopero_di_4_ore_del_28_01_2025.html,EAV,0.4792,15,16
trasporto_pubblico_venerdi_25_febbraio_sciopero_nazionale_24_ore.html,ATAC,0.5125,39,16
lunedi_22_settembre_sciopero_nazionale_di_24_ore_trasporto_pubblico_a_rischio.html,ATAC,0.6625,25,16
domani_sciopero_serale_di_4_ore_a_rischio_i_bus_del_deposito_magliana.html,ATAC,0.6667,17,16
venerd_20_settembre_sciopero_nazionale_24_ore_trasporto_pubblico_servizio_rischio.html,ATAC,0.6724,27,16
venerdi_trasporto_pubblico_regolarmente_servizio_sciopero_nazionale_usb_rinviato_9_ottobre.html,ATAC,0.6875,5,16
roma_servizi_mobilit_domani_attivit_rischio_sciopero.html,ATAC,0.6875,5,16
venerd_29_settembre_sciopero_nazionale_trasporto_pubblico_possibili_disagi.html,ATAC,0.7125,23,16
strike-detail-venerd--29-novembre-dalle-9-alle-13-sciopero-gener.html,Trenord,0.7125,19,16
sciopero_generale_nazionale_domani_trasporto_pubblico_a_rischio.html,ATAC,0.7188,19,16
linee_vesuviane_avviso_di_sciopero_24h_venerdi_20_giugno_2025.html,EAV,0.7306,25,16
news_media_comunicati_sciopero_generale_13_dicembre_240re.html,ATAC,0.7396,20,16
venerd_20_maggio_sciopero_24_ore_trasporto_pubblico_rischio.html,ATAC,0.7434,21,16
linee_suburbane_avviso_di_sciopero_24h_lunedi_24_febbraio_2025.html,EAV,0.7500,20,16
linee_vesuviane_avviso_di_sciopero_generale_nazionale_lunedi_22_settembre_2025.html,EAV,0.7500,22,16
gioved_11_aprile_sciopero_nazionale_trasporto_pubblico_rischio_20_24.html,ATAC,0.7625,15,16
luned_9_settembre_sciopero_nazionale_trasporto_pubblico_servizio_rischio.html,ATAC,0.7671,27,16
venerdi_10_sciopero_del_trasporto_pubblico_rete_atac_a_rischio.html,ATAC,0.7679,16,16
martedi_8_marzo_sciopero_generale_24_ore_rischio_trasporto_pubblico.html,ATAC,0.7708,19,16
trasporto_pubblico_28_ottobre_sciopero_sulla_rete_atac.html,ATAC,0.7946,14,16
sciopero_nazionale_24_gennaio_trasporto_pubblico_rischio.html,ATAC,0.8021,16,16
martedi_9_dicembre_sciopero_del_trasporto_pubblico_possibili_stop_per_24_ore.html,ATAC,0.8056,17,16
venerd_17_febbraio_sciopero_nazionale_usb_24_ore_trasporto_pubblico_rischio.html,ATAC,0.8163,15,16
lunedi_24_febbraio_sciopero_nazionale_del_trasporto_pubblico_possibili_disagi.html,ATAC,0.8229,13,16
linee_flegree_avviso_di_sciopero_di_4_ore_del_13_dicembre_2024.html,EAV,0.8250,10,16
Sciopero Trenitalia Tper 07 gennaio 2026.pdf,Trenitalia TPER,0.8333,4,4
venerd_16_dicembre_sciopero_generale_regionale_trasporto_pubblico_rischio_20_24.html,ATAC,0.8333,16,16
linee_vesuviane_avviso_di_sciopero_di_24_h_lunedi_24_febbraio_2025.html,EAV,0.8333,11,16
venerd_20_ottobre_sciopero_generale_nazionale_trasporto_pubblico_rischio.html,ATAC,0.8333,13,16
luned_27_novembre_sciopero_nazionale_trasporto_pubblico_possibili_disagi.html,ATAC,0.8362,12,16
servizio_autolinee_avviso_di_sciopero_di_24_ore_del_13_dicembre_2024_aggiornamento.html,EAV,0.8437,15,16
strike-detail-domenica-16-novembre-dalle-ore-10-alle-ore-18-scio.html,Trenord,0.8438,15,16
venerd_7_luglio_trasporto_pubblico_rischio_sciopero_nazionale_24_ore_della_faisa_confail.html,ATAC,0.8438,11,16
martedi_29_marzo_sciopera_24_ore_trasporto_pubblico_servizio_rischio.html,ATAC,0.8448,14,16
venerd_2_dicembre_sciopero_generale_nazionale_24_ore_rischio_trasporto_pubblico_romano.html,ATAC,0.8476,11,16
linea_metropolitana_avviso_di_sciopero_di_4_ore10_gennaio_2025.html,EAV,0.8500,12,16
linee_vesuviane_avviso_di_sciopero_generale_nazionale_di_24_ore_venerdi_03_ottobre_2025.html,EAV,0.8500,12,16
trasporto_pubblico_sciopero_nazionale_differito_15_dicembre.html,ATAC,0.8521,10,16
linea_metropolitana_avviso_di_sciopero_di_4_ore_martedi_28_gennaio_2025.html,EAV,0.8541,9,16
mercoled_8_marzo_sciopero_nazionale_cub_trasporto_pubblico_rischio_24_ore.html,ATAC,0.8542,10,16
venerdi_8_novembre_sciopero_nazionale_del_trasporto_pubblico_servizio_a_rischio_per_24_ore.html,ATAC,0.8568,14,16
servizio_autolinee_avviso_di_sciopero_di_2_ore_mercoledi_23_luglio_2025.html,EAV,0.8580,4,16
linee_vesuviane_avviso_di_sciopero_di_4_ore_del_13_dicembre_2024.html,EAV,0.8625,11,16
linee_suburbane_avviso_di_sciopero_di_4_ore_del_13_dicembre_2024.html,EAV,0.8625,11,16
