Model,Strategy,Latency (s)
deepseek-chat,dom-distillation,3.487
deepseek-chat,dom-distillation-markdown,4.640
deepseek-chat,html-to-markdown,5.623
deepseek-chat,basic-cleanup,6.623
gemini-3.1-flash-lite-preview,html-to-markdown,3.866
gemini-3.1-flash-lite-preview,dom-distillation,4.983
gemini-3.1-flash-lite-preview,basic-cleanup,5.024
gemini-3.1-flash-lite-preview,dom-distillation-markdown,5.466
gpt-5-nano,html-to-markdown,17.650
gpt-5-nano,dom-distillation-markdown,17.765
gpt-5-nano,dom-distillation,17.866
gpt-5-nano,basic-cleanup,19.583
llama-4-scout-17b,dom-distillation,0.625
llama-4-scout-17b,dom-distillation-markdown,1.689
llama-4-scout-17b,html-to-markdown,4.138
llama-4-scout-17b,basic-cleanup,5.309
